CODIGO_SINIESTRO,FECHA_SINIESTRO,HORA_SINIESTRO,CLASE_SINIESTRO,CANTIDAD_DE_FALLECIDOS,CANTIDAD_DE_LESIONADOS,CANTIDAD_DE_VEHICULOS_DANADOS,DEPARTAMENTO,PROVINCIA,DISTRITO,ZONA,TIPO_DE_VIA,RED_VIAL,COD_CARRETERA,EXISTE_CICLOVIA,COORDENADAS_LATITUD,COORDENADAS_LONGITUD,CONDICION_CLIMATICA,ZONIFICACION,CARACTERISTICAS_DE_VIA,PERFIL_LONGITUDINAL_VIA,SUPERFICIE_DE_CALZADA,EXISTE_SENAL_VERTICAL,CLASIFICACION_DE_LA_SENAL_VERTICAL_N_1,CLASIFICACION_DE_LA_SENAL_VERTICAL_N_2,EXISTE_SENAL_HORIZONTAL,CAUSA_FACTOR_PRINCIPAL,CAUSA_ESPECIFICA
A-2022-08-172,08/08/2022,21:30,DESPISTE,1,0,,PIURA,PIURA,PIURA,URBANA,CARRETERA,VECINAL,PI-993,NO,-5.031625,-80.662164,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-08-246,08/08/2022,23:00,DESPISTE,1,0,1,PIURA,SULLANA,SULLANA,RURAL,CARRETERA,NACIONAL,PE-1NL,NO,-4.9205982397809,-80.630196722909,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-08-3,08/08/2023,09:00,CHOQUE,3,1,2,AREQUIPA,AREQUIPA,YURA,RURAL,CARRETERA,NACIONAL,PE-34A,NO,-16.089422,-71.599746,DESPEJADO,RESIDENCIAL,CURVA,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-08-13,08/08/2023,19:10,CHOQUE,1,0,2,PUNO,CHUCUITO,DESAGUADERO,RURAL,CARRETERA,NACIONAL,PE-36A,NO,-16.576805909009,-69.0523444930883,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,GIRAR IMPRUDENTEMENTE
A-2023-08-10,08/08/2023,20:25,CHOQUE,1,8,3,AREQUIPA,AREQUIPA,LA JOYA,RURAL,CARRETERA,DEPARTAMENTAL,AR-115,NO,-16.542205,-71.710396,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-09-234,08/09/2021,07:00,ATROPELLO,1,0,2,JUNIN,YAULI,LA OROYA,RURAL,CARRETERA,NACIONAL,PE-3S,NO,-11.521031,-75.905211,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-09-107,08/09/2021,18:00,ATROPELLO FUGA,1,0,0,LAMBAYEQUE,CHICLAYO,CHICLAYO,URBANA,CARRETERA,NACIONAL,PE-1N,NO,-6.792049,-79.865118,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-09-106,08/09/2021,19:00,CHOQUE,1,2,1,LIMA,HUAURA,SAYAN,RURAL,CARRETERA,NACIONAL,PE-1NE,NO,-11.1387618193607,-77.2729078138716,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,REGULADORA (R),,NO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-09-87,08/09/2021,20:00,CHOQUE,1,0,2,PUNO,AZANGARO,SAMAN,RURAL,CARRETERA,NACIONAL,PE-34H,NO,-15.3005312898736,-70.0241006744877,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-09-235,08/09/2021,23:45,CHOQUE,1,0,2,JUNIN,SATIPO,PANGOA,RURAL,CARRETERA,NACIONAL,PE-28C,NO,-11.4489429729174,-74.4851051992776,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-09-91,08/09/2022,04:50,ATROPELLO FUGA,1,0,0,LAMBAYEQUE,CHICLAYO,MONSEFU,URBANA,CARRETERA,NACIONAL,PE-1N,NO,-6.8525446,-79.826536,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,PREVENTIVA (P),PREVENTIVA (P),NO,NO IDENTIFICA LA CAUSA,
A-2022-09-153,08/09/2022,05:00,CHOQUE CON OBJETO FIJO,1,0,,LIMA,LIMA,SANTIAGO DE SURCO,URBANA,CARRETERA,NACIONAL,PE-1S,NO,-12.1451326571418,-76.9818878173828,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-10-212,08/09/2022,06:00,CHOQUE,1,0,,LORETO,MAYNAS,SAN JUAN BAUTISTA,RURAL,CARRETERA,DEPARTAMENTAL,LO-103,NO,-4.24693489640324,-73.4936109331865,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2022-09-152,08/09/2022,08:30,CAÍDA DE PASAJERO,1,0,,LIMA,LIMA,VILLA EL SALVADOR,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.2201760569722,-76.9304065705,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-09-42,08/09/2022,11:40,CHOQUE,1,1,2,LA LIBERTAD,PACASMAYO,GUADALUPE,URBANA,CARRETERA,VECINAL,LI-508,NO,-7.23794,-79.468746,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-09-13,08/09/2022,19:30,ATROPELLO FUGA,1,0,,PUNO,PUNO,PUNO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-15.852219,-70.015328,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2022-09-44,08/09/2022,20:20,ATROPELLO,1,0,1,LA LIBERTAD,VIRU,VIRU,RURAL,CARRETERA,NACIONAL,PE-1N,NO,-8.36158871809023,-78.872690595125,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-09-45,08/09/2022,22:30,CHOQUE,1,0,2,LA LIBERTAD,TRUJILLO,TRUJILLO,URBANA,JIRÓN,URBANO,NO CORRESPONDE,NO,-8.112046,-79.031226,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2023-09-113,08/09/2023,06:30,ESPECIAL,1,0,,JUNIN,HUANCAYO,INGENIO,RURAL,CARRETERA,SIN CLASIFICAR,SIN CLASIFICAR,NO,-11.923284,-75.273948,DESPEJADO,RURAL,OTRO,INCLINADA,TROCHA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2023-09-120,08/09/2023,11:00,CHOQUE,1,0,,LIMA,LIMA,SAN MARTIN DE PORRES,URBANA,AVENIDA,URBANO,NO CORRESPONDE,SI,-12.03111589,-77.08406933,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2023-09-105,08/09/2023,14:40,CHOQUE,6,14,,JUNIN,TARMA,SAN PEDRO DE CAJAS,RURAL,CARRETERA,NACIONAL,PE-3N,NO,-11.2954710361965,-75.9110748227024,DESPEJADO,RURAL,CURVA,INCLINADA,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,ADELANTAR INDEBIDAMENTE
A-2023-09-5,08/09/2023,15:20,ATROPELLO,1,0,1,ICA,NASCA,NASCA,URBANA,CARRETERA,NACIONAL,PE-1S,NO,-14.83116,-74.943432,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-09-49,08/09/2023,17:00,CHOQUE,1,0,2,CUSCO,URUBAMBA,URUBAMBA,URBANA,CARRETERA,NACIONAL,PE-28B,NO,-13.31145,-72.10592,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,PREVENTIVA (P),,SI,IMPRUDENCIA DEL CONDUCTOR,FATIGA Y/O CANSANCIO
A-2023-09-121,08/09/2023,18:00,CHOQUE,1,0,,LIMA,LIMA,VILLA EL SALVADOR,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.21545873,-76.92889863,DESPEJADO,RESIDENCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2023-09-122,08/09/2023,23:50,ATROPELLO,1,0,,LIMA,LIMA,MIRAFLORES,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.12627945,-77.01810026,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,NO,,,NO,IMPRUDENCIA DEL PEATÓN,OTRO (IMPRUDENCIA DEL PEATÓN)
A-2021-10-271,08/10/2021,02:00,DESPISTE,1,0,,JUNIN,CHANCHAMAYO,PERENE,RURAL,CARRETERA,NACIONAL,PE-5S,,-10.9481636371613,-75.2228211661947,,,,,,,,,,,
A-2021-10-25,08/10/2021,06:15,CHOQUE,1,0,2,AREQUIPA,CAYLLOMA,MAJES,URBANA,OTRO,URBANO,NO CORRESPONDE,NO,-16.352556,-72.208859,SOLEADO,RESIDENCIAL,TRAMO RECTO,PLANA ,AFIRMADO,,,,,NO IDENTIFICA LA CAUSA,
A-2021-10-85,08/10/2021,08:30,DESPISTE,2,0,1,ANCASH,CORONGO,LA PAMPA,RURAL,CARRETERA,NACIONAL,PE-3NA,NO,-8.67830672554672,-77.9187403951255,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,FATIGA Y/O CANSANCIO
A-2021-10-32,08/10/2021,09:30,CHOQUE CON OBJETO FIJO,1,3,,CAJAMARCA,CAJAMARCA,LLACANORA,RURAL,CARRETERA,NACIONAL,PE-3N,NO,-7.203913,-78.435135,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-10-52,08/10/2021,10:30,ATROPELLO,1,0,1,LIMA,LIMA,COMAS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-11.940899,-77.0438,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-10-107,08/10/2021,11:20,ATROPELLO FUGA,1,0,1,PUNO,SAN ROMAN,SAN MIGUEL,RURAL,CARRETERA,NACIONAL,PE-3S,NO,-15.460852,-70.1393179,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-10-216,08/10/2021,14:30,CHOQUE,1,1,2,ANCASH,HUARAZ,INDEPENDENCIA,RURAL,CARRETERA,NACIONAL,PE-14,NO,-9.52418421770376,-77.5452643349817,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL
A-2021-10-133,08/10/2021,23:30,DESPISTE,1,0,1,CALLAO,CALLAO,BELLAVISTA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.0554738172442,-77.1075812975479,DESPEJADO,RESIDENCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2022-10-94,08/10/2022,06:30,DESPISTE,1,0,1,TACNA,TARATA,ESTIQUE,RURAL,CARRETERA,NACIONAL,PE-38,NO,-17.624558,-70.063216,DESPEJADO,RURAL,CURVA,INCLINADA,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2022-10-39,08/10/2022,15:00,CHOQUE,3,0,2,PASCO,PASCO,YANACANCHA,URBANA,CARRETERA,NACIONAL,PE-3N,NO,-10.6256790940718,-76.1754491504982,DESPEJADO,COMERCIAL,CURVA,INCLINADA,ASFALTADA,SI,REGULADORA (R),,SI,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2022-10-171,08/10/2022,19:30,ATROPELLO,1,0,,LORETO,MAYNAS,SAN JUAN BAUTISTA,URBANA,CARRETERA,DEPARTAMENTAL,LO-103,NO,-4.0918754,-73.4548257,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2022-10-9,08/10/2022,20:00,ATROPELLO,1,0,,PUNO,PUNO,ACORA,RURAL,CARRETERA,NACIONAL,PE-3S,NO,-15.97023,-69.799618,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA
A-2023-10-17,08/10/2023,07:32,CHOQUE,1,3,2,PUNO,PUNO,PUNO,URBANA,CARRETERA,VECINAL,PU-943,NO,-15.826657,-70.013769,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,INFORMATIVA (I),,NO,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL
A-2023-10-136,08/10/2023,10:30,ATROPELLO,1,1,1,TACNA,TACNA,LA YARADA LOS PALOS,RURAL,CARRETERA,VECINAL,TA-642,NO,-18.1646702466041,-70.4374372344139,DESPEJADO,RURAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA
A-2023-10-51,08/10/2023,15:00,DESPISTE,1,0,1,CUSCO,URUBAMBA,OLLANTAYTAMBO,RURAL,CARRETERA,NACIONAL,PE-28B,NO,-13.2015118114636,-72.297085126717,DESPEJADO,RURAL,CURVA,INCLINADA,ASFALTADA,SI,PREVENTIVA (P),,SI,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2023-10-19,08/10/2023,22:50,CHOQUE,1,7,2,ICA,PISCO,PISCO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-13.717245,-76.204005,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,SI,REGULADORA (R),,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-10-26,08/10/2023,23:05,ATROPELLO FUGA,1,0,,CUSCO,CANCHIS,COMBAPATA,RURAL,CARRETERA,NACIONAL,PE-3S,NO,-14.1069984555172,-71.4211097485868,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,PREVENTIVA (P),,NO,IMPRUDENCIA DEL PEATÓN,ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-11-213,08/11/2021,02:45,CHOQUE FUGA,1,0,1,CAJAMARCA,JAEN,JAEN,URBANA,CARRETERA,NACIONAL,PE-5N,NO,-5.72850235746191,-78.7964022398655,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-11-14,08/11/2021,05:00,DESPISTE,2,2,1,ANCASH,POMABAMBA,POMABAMBA,RURAL,CARRETERA,SIN CLASIFICAR,SIN CLASIFICAR,NO,-8.78697593897832,-77.5105028156233,LLUVIOSO,RURAL,CURVA,PLANA ,TROCHA,SI,INFORMATIVA (I),PREVENTIVA (P),NO,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2021-11-152,08/11/2021,06:30,CHOQUE,1,2,0,LIMA,LIMA,ATE,URBANA,CARRETERA,NACIONAL,PE-22,NO,-12.006873185625,-76.8523680755825,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-11-77,08/11/2021,10:00,DESPISTE,1,0,1,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,RURAL,CARRETERA,NACIONAL,PE-10B,NO,-7.79029,-77.96874,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,TROCHA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-11-11,08/11/2021,12:40,ATROPELLO FUGA,1,0,0,LIMA,LIMA,SAN MIGUEL,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.0615592361695,-77.0875032459981,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,,,SI,NO IDENTIFICA LA CAUSA,
A-2021-11-79,08/11/2021,16:20,DESPISTE,1,10,1,LA LIBERTAD,ASCOPE,CHICAMA,RURAL,CARRETERA,NACIONAL,PE-1N,NO,-7.908891,-79.116131,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-11-133,08/11/2022,08:30,ATROPELLO,1,0,,CALLAO,CALLAO,CALLAO,URBANA,CARRETERA,NACIONAL,PE-20,NO,-11.9421195,-77.131295821,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,,,SI,NO IDENTIFICA LA CAUSA,
A-2022-11-119,08/11/2022,16:00,CHOQUE,1,0,,CALLAO,CALLAO,CALLAO,URBANA,CARRETERA,NACIONAL,PE-20,NO,-11.989341,-77.1259525195,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,INFORMATIVA (I),PREVENTIVA (P),NO,NO IDENTIFICA LA CAUSA,
A-2022-11-138,08/11/2022,16:00,CHOQUE,1,0,,LIMA,LIMA,LURIGANCHO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.0075663289559,-76.8874043667373,DESPEJADO,INDUSTRIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-11-199,08/11/2022,22:00,CHOQUE,1,0,,PIURA,AYABACA,SUYO,RURAL,CARRETERA,NACIONAL,PE-1NL,NO,-4.48208042504617,-79.9868950103724,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL
A-2023-11-115,08/11/2023,12:00,ATROPELLO,1,0,,LIMA,LIMA,LA VICTORIA,URBANA,JIRÓN,URBANO,NO CORRESPONDE,NO,-12.06099302,-77.02302769,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,SI,PREVENTIVA (P),,SI,,
A-2021-12-69,08/12/2021,06:00,ATROPELLO FUGA,1,0,,PASCO,PASCO,VICCO,URBANA,CARRETERA,NACIONAL,PE-20A,NO,-10.8109854672826,-76.2386476533972,DESPEJADO,RURAL,OTRO,PLANA ,ASFALTADA,SI,REGULADORA (R),,NO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-12-170,08/12/2021,06:30,CHOQUE,1,0,2,LAMBAYEQUE,CHICLAYO,PIMENTEL,URBANA,CARRETERA,NACIONAL,PE-1N,NO,-6.75187948435017,-79.8676442770372,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-12-99,08/12/2021,06:30,CHOQUE,1,0,2,UCAYALI,CORONEL PORTILLO,YARINACOCHA,RURAL,CARRETERA,NACIONAL,PE-18C,NO,-8.40977,-74.650205,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,REGULADORA (R),,NO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN SENTIDO CONTRARIO
A-2021-12-238,08/12/2021,07:20,VOLCADURA,1,0,2,SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,RURAL,CARRETERA,NACIONAL,PE-5NB,NO,-6.46513,-76.31393,DESPEJADO,RURAL,CURVA,INCLINADA,ASFALTADA,SI,PREVENTIVA (P),,SI,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-12-216,08/12/2021,10:00,CAÍDA DE PASAJERO,1,0,0,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,URBANA,JIRÓN,URBANO,NO CORRESPONDE,NO,-12.183116,-76.924735,SOLEADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-12-26,08/12/2021,15:30,DESPISTE,2,2,1,ICA,ICA,YAUCA DEL ROSARIO,RURAL,CARRETERA,DEPARTAMENTAL,IC-107,NO,-14.1745787,-75.5859515,SOLEADO,RURAL,TRAMO RECTO,PLANA ,TROCHA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-12-66,08/12/2021,19:50,ATROPELLO,1,1,,LORETO,MAYNAS,IQUITOS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,,-3.73193213047697,-73.2587682446977,,,,,,,,,,,
A-2022-12-120,08/12/2022,01:30,DESPISTE,1,6,1,CAJAMARCA,CHOTA,COCHABAMBA,RURAL,CARRETERA,VECINAL,CA-844,NO,-6.49356833,-78.87548333,DESPEJADO,RURAL,CURVA,INCLINADA,AFIRMADO,,,,,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR)
A-2022-12-141,08/12/2022,04:50,DESPISTE,1,0,,LIMA,LIMA,CHORRILLOS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.1961847637265,-77.0005459957358,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-12-234,08/12/2022,09:30,ESPECIAL,1,0,1,AYACUCHO,LUCANAS,PUQUIO,RURAL,CARRETERA,NACIONAL,PE-30A,NO,-14.64194,-74.047936,DESPEJADO,RURAL,CURVA,INCLINADA,ASFALTADA,SI,PREVENTIVA (P),REGULADORA (R),NO,INFRAESTRUCTURA Y ENTORNO VIAL,OTRO (INFRAESTRUCTURA Y ENTORNO VIAL)
A-2022-12-42,08/12/2022,13:00,VOLCADURA,2,2,1,CUSCO,LA CONVENCION,HUAYOPATA,RURAL,CARRETERA,NACIONAL,PE-28B,NO,-13.1245997988512,-72.3322152354889,DESPEJADO,RURAL,CURVA,INCLINADA,ASFALTADA,SI,PREVENTIVA (P),,SI,NO IDENTIFICA LA CAUSA,
A-2022-12-119,08/12/2022,14:00,DESPISTE,1,1,,CAJAMARCA,CHOTA,COCHABAMBA,RURAL,CARRETERA,NACIONAL,PE-3N,NO,-6.49894333,-78.82061,DESPEJADO,RURAL,CURVA,PLANA ,ASFALTADA,SI,PREVENTIVA (P),REGULADORA (R),SI,NO IDENTIFICA LA CAUSA,
A-2022-12-13,08/12/2022,22:40,CHOQUE,3,6,2,PUNO,PUNO,PICHACANI,RURAL,CARRETERA,VECINAL,PU-1097,NO,-16.1972211489473,-70.1327328775026,LLUVIOSO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,VEHÍCULO MAL ESTACIONADO
A-2022-12-102,08/12/2022,23:20,DESPISTE,1,0,1,PUNO,HUANCANE,TARACO,RURAL,CARRETERA,NACIONAL,PE-34H,NO,-15.2990090769975,-69.9858095702391,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2023-12-10,08/12/2023,05:30,CHOQUE,1,1,3,ICA,ICA,LOS AQUIJES,RURAL,CARRETERA,VECINAL,IC-653,NO,-14.09797832,-75.68375776,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2023-12-54,08/12/2023,17:04,ATROPELLO,1,0,1,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-18.05367,-70.242646,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2023-12-94,08/12/2023,19:15,CHOQUE,1,0,,LIMA,LIMA,LOS OLIVOS,URBANA,CARRETERA,NACIONAL,PE-1N,NO,-11.97016,-77.067188,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,,
A-2023-12-75,08/12/2023,22:00,DESPISTE,5,1,1,AREQUIPA,CAYLLOMA,YANQUE,RURAL,CARRETERA,DEPARTAMENTAL,AR-109,SI,-15.650821,-71.641526,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,NO,,,SI,NO IDENTIFICA LA CAUSA,
A-2021-01-335,09/01/2021,06:20,CHOQUE,2,0,2,AREQUIPA,CARAVELI,LOMAS,RURAL,CARRETERA,NACIONAL,PE-1S,NO,-15.296713,-74.915512,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-01-188,09/01/2021,08:00,CHOQUE,1,1,2,CUSCO,CHUMBIVILCAS,COLQUEMARCA,RURAL,CARRETERA,VECINAL,CU-1542,NO,-14.255447,-72.051308,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-01-264,09/01/2021,10:00,DESPISTE,1,0,0,LIMA,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-11.980617,-77.012747,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR)
A-2021-01-71,09/01/2021,15:30,DESPISTE,1,0,1,LAMBAYEQUE,CHICLAYO,LA VICTORIA,RURAL,CARRETERA,VECINAL,LA-778,NO,-6.821616,-79.855199,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-01-49,09/01/2021,16:20,CHOQUE,1,4,2,LIMA,BARRANCA,PATIVILCA,RURAL,CARRETERA,NACIONAL,PE-16A,NO,-10.6588840605547,-77.6526383087629,SOLEADO,RURAL,CURVA,PLANA ,ASFALTADA,NO,,,SI,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL
