CÓDIGO SINIESTRO,FECHA SINIESTRO,HORA SINIESTRO,CLASE SINIESTRO,CANTIDAD DE FALLECIDOS,CANTIDAD DE LESIONADOS,CANTIDAD DE VEHICULOS DAÑADOS,DEPARTAMENTO,PROVINCIA,DISTRITO,ZONA,TIPO DE VÍA,RED VIAL,COD CARRETERA,EXISTE CICLOVÍA,COORDENADAS LATITUD,COORDENADAS  LONGITUD,CONDICIÓN CLIMÁTICA,ZONIFICACIÓN,CARACTERÍSTICAS DE VÍA,PERFIL LONGITUDINAL VÍA,SUPERFICIE DE CALZADA,¿EXISTE SEÑAL VERTICAL?,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 1,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 2,¿EXISTE SEÑAL HORIZONTAL?,CAUSA FACTOR PRINCIPAL,CAUSA ESPECÍFICA
A-2023-04-76,02/04/2023,07:00,CHOQUE,1,0,,LA LIBERTAD,TRUJILLO,LA ESPERANZA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-8.048679979442273,-79.05670520184977,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2023-04-145,02/04/2023,07:30,CHOQUE FUGA,1,0,,LIMA,LIMA,LURIGANCHO,RURAL,CARRETERA,NACIONAL,PE-22,NO,-12.021318,-76.930528,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,NO ESTABLECER EL DERECHO DE PASO
A-2023-04-165,02/04/2023,09:00,CHOQUE,1,1,2,AYACUCHO,CANGALLO,LOS MOROCHUCOS,RURAL,CARRETERA,SIN CLASIFICAR,SIN CLASIFICAR,NO,-13.5413415292096,-74.2121665723896,DESPEJADO,RURAL,CURVA,INCLINADA,ASFALTADA,SI,REGULADORA (R),PREVENTIVA (P),NO,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL
A-2023-04-141,02/04/2023,11:45,ATROPELLO,1,0,,LIMA,LIMA,COMAS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-11.957287243185698,-77.05289503640583,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2023-04-158,02/04/2023,17:25,ATROPELLO,1,0,,JUNIN,HUANCAYO,CHILCA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.083332494137979,-75.21245656218369,SOLEADO,RURAL,INTERSECCIÓN,PLANA ,ASFALTADA,NO,,,SI,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA
A-2023-04-104,02/04/2023,20:30,CHOQUE,1,2,2,HUANUCO,HUAMALIES,MONZON,RURAL,CARRETERA,NACIONAL,PE-14A,NO,-9.209372976011164,-76.14696421911982,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,PREVENTIVA (P),,NO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2023-04-63,02/04/2023,21:50,ATROPELLO,1,1,1,LIMA,HUAURA,VEGUETA,URBANA,CARRETERA,NACIONAL,PE-1N,NO,-10.92414,-77.65299,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,REGULADORA (R),INFORMATIVA (I),NO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-05-3,02/05/2021,03:31,CHOQUE,1,0,2,JUNIN,CHANCHAMAYO,CHANCHAMAYO,RURAL,CARRETERA,NACIONAL,PE-22B,NO,-11.05411900879454,-75.32400898727913,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,,
A-2021-05-125,02/05/2021,09:00,CHOQUE,1,0,,LIMA,LIMA,LIMA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.053072448541597,-77.01305632819688,SOLEADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-05-206,02/05/2021,16:30,DESPISTE,2,0,1,PUNO,SANDIA,SAN PEDRO DE PUTINA PUNCO,RURAL,CARRETERA,NACIONAL,PE-34H,NO,-14.119034,-69.050906,DESPEJADO,RURAL,PASE A DESNIVEL,INCLINADA,TROCHA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2022-05-224,02/05/2022,01:15,DESPISTE,1,0,,JUNIN,SATIPO,PANGOA,RURAL,CARRETERA,SIN CLASIFICAR,SIN CLASIFICAR,,-11.815478348930611,-74.31420486382191,,,,,,,,,,,
A-2022-05-144,02/05/2022,02:00,DESPISTE,2,0,1,CUSCO,CHUMBIVILCAS,LIVITACA,RURAL,CARRETERA,VECINAL,CU-1589,NO,-14.170324,-71.558414,DESPEJADO,RURAL,CURVA,INCLINADA,TROCHA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2022-05-202,02/05/2022,05:56,ATROPELLO,1,0,1,LIMA,CAÑETE,CHILCA,URBANA,CARRETERA,NACIONAL,PE-1S,NO,-12.478985,-76.74743,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-05-238,02/05/2022,06:20,VOLCADURA,2,0,2,ICA,CHINCHA,ALTO LARAN,RURAL,CARRETERA,NACIONAL,PE-1S,NO,-13.461462,-76.136362,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2022-05-57,02/05/2022,07:35,ATROPELLO,1,0,1,ANCASH,YUNGAY,MANCOS,URBANA,CARRETERA,SIN CLASIFICAR,SIN CLASIFICAR,NO,-9.204342432570952,-77.60912786670656,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,SI,PREVENTIVA (P),,SI,NO IDENTIFICA LA CAUSA,
A-2022-05-203,02/05/2022,15:30,ATROPELLO,1,0,0,LIMA,LIMA,LOS OLIVOS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.012219,-77.078756795,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-05-204,02/05/2022,15:55,DESPISTE,1,0,1,LIMA,LIMA,SANTA ANITA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.040892,-76.961945,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-05-25,02/05/2022,16:00,CAÍDA DE PASAJERO,1,0,1,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,RURAL,CARRETERA,VECINAL,LI-602,NO,-7.451538,-79.505745,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,AFIRMADO,,,,,NO IDENTIFICA LA CAUSA,
A-2022-05-41,02/05/2022,17:10,CHOQUE,1,0,2,AREQUIPA,CAYLLOMA,MAJES,RURAL,CARRETERA,SIN CLASIFICAR,SIN CLASIFICAR,NO,-16.318779,-72.213037,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,,,SI,NO IDENTIFICA LA CAUSA,
A-2022-05-205,02/05/2022,19:30,CHOQUE,1,0,0,LIMA,YAUYOS,TANTA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.098821,-76.046904,DESPEJADO,RESIDENCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-05-172,02/05/2022,22:30,ATROPELLO FUGA,1,0,0,PUNO,SAN ROMAN,SAN MIGUEL,RURAL,CARRETERA,NACIONAL,PE-3S,NO,-15.436021334732171,-70.14045229836972,SOLEADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-05-56,02/05/2022,23:00,DESPISTE,2,1,1,ANCASH,BOLOGNESI,AQUIA,RURAL,CALLE,URBANO,NO CORRESPONDE,NO,-10.075959693309075,-77.146692484389,DESPEJADO,RURAL,CURVA,INCLINADA,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-05-106,02/05/2022,23:15,CHOQUE,1,0,2,CAJAMARCA,CAJABAMBA,CAJABAMBA,URBANA,CARRETERA,NACIONAL,PE-3N,NO,-7.61033042,-78.06769556,DESPEJADO,RURAL,OTRO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2023-05-156,02/05/2023,01:30,VOLCADURA,1,0,1,CAJAMARCA,CAJAMARCA,NAMORA,RURAL,CARRETERA,VECINAL,CA-1504,NO,-7.158879,-78.210876,DESPEJADO,INDUSTRIAL,CURVA,INCLINADA,AFIRMADO,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2023-05-54,02/05/2023,04:30,DESPISTE,1,0,1,LA LIBERTAD,VIRU,CHAO,RURAL,CARRETERA,VECINAL,LI-1193,NO,-8.491730815418856,-78.61675642497075,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2023-05-56,02/05/2023,12:00,CHOQUE,1,0,2,LA LIBERTAD,VIRU,CHAO,RURAL,CARRETERA,NACIONAL,PE-1N,SI,-8.588582,-78.668333,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,FATIGA Y/O CANSANCIO
A-2023-05-57,02/05/2023,13:50,DESPISTE,2,0,1,LA LIBERTAD,CHEPEN,CHEPEN,RURAL,CARRETERA,NACIONAL,PE-08,NO,-7.279487574361421,-79.30900776967442,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,AFIRMADO,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2023-05-103,02/05/2023,18:30,CHOQUE,2,0,,LORETO,MAYNAS,SAN JUAN BAUTISTA,RURAL,CARRETERA,DEPARTAMENTAL,LO-103,,-3.90298775,-73.35507524,,,,,,,,,,,
A-2023-05-58,02/05/2023,18:30,ATROPELLO,1,0,1,LA LIBERTAD,PATAZ,PATAZ,RURAL,CARRETERA,DEPARTAMENTAL,LI-125,NO,-7.761406,-77.603918,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,AFIRMADO,,,,,NO IDENTIFICA LA CAUSA,
A-2023-05-142,02/05/2023,22:00,CHOQUE FUGA,1,0,,JUNIN,HUANCAYO,SAPALLANGA,URBANA,CARRETERA,NACIONAL,PE-3SC,NO,-12.147979,-75.159387,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,,,SI,IMPRUDENCIA DEL CONDUCTOR,GIRAR IMPRUDENTEMENTE
A-2023-05-85,02/05/2023,23:30,DESPISTE,1,0,1,PUNO,SAN ROMAN,CABANA,RURAL,CARRETERA,DEPARTAMENTAL,PU-121,NO,-15.658390462276639,-70.2865683507968,DESPEJADO,RURAL,CURVA,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2021-06-34,02/06/2021,14:25,ATROPELLO,1,0,1,PUNO,SANDIA,SANDIA,URBANA,JIRÓN,URBANO,NO CORRESPONDE,NO,-14.326570467209283,-69.46594104727231,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA
A-2021-06-5,02/06/2021,17:30,CHOQUE,3,1,3,TACNA,TACNA,LA YARADA LOS PALOS,RURAL,CARRETERA,NACIONAL,PE-1S,NO,-18.265441,-70.31958,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL
A-2021-06-22,02/06/2021,17:40,DESPISTE,1,0,,TUMBES,TUMBES,CORRALES,RURAL,CARRETERA,NACIONAL,PE-1N,,-3.609553141701579,-80.50655188567089,,,,,,,,,,,
A-2022-06-5,02/06/2022,01:50,DESPISTE,1,0,1,ICA,PISCO,PARACAS,RURAL,CARRETERA,NACIONAL,PE-1S,NO,-13.897395,-76.080437,NIEBLA,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,REGULADORA (R),INFORMATIVA (I),SI,NO IDENTIFICA LA CAUSA,
A-2022-06-114,02/06/2022,07:30,DESPISTE,1,0,1,CAJAMARCA,CAJABAMBA,CAJABAMBA,URBANA,JIRÓN,URBANO,NO CORRESPONDE,NO,-7.630609,-78.044421,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-06-263,02/06/2022,18:10,ATROPELLO,1,0,,LIMA,LIMA,VILLA EL SALVADOR,URBANA,AVENIDA,URBANO,NO CORRESPONDE,,-12.195384061606628,-76.95906453254018,,,,,,,,,,,
A-2022-06-222,02/06/2022,20:10,CHOQUE,1,0,2,JUNIN,CHUPACA,CHUPACA,RURAL,CARRETERA,SIN CLASIFICAR,SIN CLASIFICAR,NO,-12.06023,-75.30881,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,CONCRETO,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2023-06-87,02/06/2023,18:30,DESPISTE,1,0,1,PUNO,CARABAYA,AJOYANI,RURAL,CARRETERA,NACIONAL,PE-34B,NO,-14.268941614299992,-70.24374956769704,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,FATIGA Y/O CANSANCIO
A-2023-06-36,02/06/2023,20:30,ATROPELLO,1,0,1,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,URBANA,CARRETERA,NACIONAL,PE-1N,NO,-8.146174,-79.046022,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA
A-2023-06-5,02/06/2023,23:45,DESPISTE,1,1,1,PUNO,PUNO,PLATERIA,RURAL,CARRETERA,NACIONAL,PE-3S,NO,-15.943626427585274,-69.84356935453165,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,FATIGA Y/O CANSANCIO
A-2021-07-280,02/07/2021,02:00,DESPISTE,2,1,1,HUANUCO,PACHITEA,UMARI,RURAL,CARRETERA,VECINAL,HU-840,NO,-9.890068,-75.992688,DESPEJADO,RURAL,SINUOSA,INCLINADA,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-07-28,02/07/2021,06:00,DESPISTE,1,0,1,HUANCAVELICA,TAYACAJA,AHUAYCHA,RURAL,CARRETERA,NACIONAL,PE-3S,NO,-12.530598,-74.945567,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-07-76,02/07/2021,06:30,CHOQUE,1,1,2,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-17.209031,-70.940198,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,SI,REGULADORA (R),REGULADORA (R),NO,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2021-07-13,02/07/2021,15:00,CHOQUE,1,1,0,LIMA,LIMA,CHORRILLOS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.196577,-76.990935,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-07-12,02/07/2021,15:30,ATROPELLO,1,0,0,LIMA,LIMA,LOS OLIVOS,,CARRETERA,NACIONAL,PE-1N,NO,-11.967712,-77.067618,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-07-120,02/07/2021,17:00,CHOQUE,1,0,3,AYACUCHO,HUANTA,PUCACOLPA,RURAL,CARRETERA,NACIONAL,PE-3S,NO,-12.4156,-74.3418,DESPEJADO,RURAL,SINUOSA,INCLINADA,ASFALTADA,SI,PREVENTIVA (P),,SI,NO IDENTIFICA LA CAUSA,
A-2021-07-22,02/07/2021,18:00,DESPISTE,3,1,1,AREQUIPA,CARAVELI,CHAPARRA,RURAL,CARRETERA,VECINAL,AR-514,NO,-15.73168,-73.821106,DESPEJADO,RURAL,SINUOSA,INCLINADA,TROCHA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-07-56,02/07/2021,22:30,ATROPELLO FUGA,1,0,1,LA LIBERTAD,PACASMAYO,GUADALUPE,RURAL,CARRETERA,NACIONAL,PE-08,NO,-7.305328,-79.443897,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-07-186,02/07/2022,01:30,ATROPELLO FUGA,1,0,,LIMA,LIMA,LURIN,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.243900000499872,-76.90951799846174,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-07-187,02/07/2022,02:50,ATROPELLO FUGA,1,0,,LIMA,LIMA,PUEBLO LIBRE,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.0781808,-77.0803376,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-07-252,02/07/2022,16:40,ATROPELLO,1,0,,JUNIN,CONCEPCION,CHAMBARA,RURAL,CARRETERA,NACIONAL,PE-24,NO,-12.025631,-75.420456,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2022-07-97,02/07/2022,20:30,ATROPELLO FUGA,1,1,1,LAMBAYEQUE,CHICLAYO,REQUE,RURAL,CARRETERA,NACIONAL,PE-1N,NO,-6.888183,-79.804553,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2023-07-125,02/07/2023,02:30,CHOQUE CON OBJETO FIJO,1,0,,LIMA,LIMA,LOS OLIVOS,URBANA,CALLE,URBANO,NO CORRESPONDE,NO,-12.00521106,-77.08052456,DESPEJADO,RESIDENCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-07-99,02/07/2023,02:40,ATROPELLO,1,0,0,PUNO,SAN ROMAN,JULIACA,URBANA,JIRÓN,URBANO,NO CORRESPONDE,NO,-15.493616,-70.136997,DESPEJADO,COMERCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA
A-2023-07-71,02/07/2023,03:40,CHOQUE,1,1,2,CUSCO,ANTA,HUAROCONDO,RURAL,CARRETERA,DEPARTAMENTAL,CU-110,NO,-13.440201,-72.206697,DESPEJADO,RURAL,CURVA,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL
A-2023-07-2,02/07/2023,03:57,CHOQUE,1,2,,AREQUIPA,AREQUIPA,AREQUIPA,URBANA,CALLE,URBANO,NO CORRESPONDE,,-16.3970827,-71.5334445,,,,,,,,,,,
A-2023-07-6,02/07/2023,08:30,DESPISTE,1,0,1,PUNO,PUNO,PICHACANI,RURAL,CARRETERA,NACIONAL,PE-36B,NO,-16.224586,-70.124156,DESPEJADO,RURAL,CURVA,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2023-07-162,02/07/2023,11:45,DESPISTE,1,2,,JUNIN,HUANCAYO,PUCARA,RURAL,CARRETERA,SIN CLASIFICAR,SIN CLASIFICAR,NO,-12.1398254193877,-75.1079038834663,SOLEADO,RURAL,CURVA,INCLINADA,TROCHA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2023-07-127,02/07/2023,23:00,ATROPELLO,1,0,,LIMA,LIMA,ATE,URBANA,CARRETERA,NACIONAL,PE-22,NO,-12.017291,-76.897926,DESPEJADO,RESIDENCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,OTRO (IMPRUDENCIA DEL PEATÓN)
A-2023-07-126,02/07/2023,23:30,ATROPELLO FUGA,1,0,,LIMA,LIMA,LURIN,RURAL,CARRETERA,NACIONAL,PE-1S,NO,-12.257932560259317,-76.91872174565239,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-08-18,02/08/2021,04:30,DESPISTE,1,0,1,PIURA,MORROPON,CHULUCANAS,RURAL,CARRETERA,VECINAL,PI-788,NO,-5.0861814,-80.1234345,DESPEJADO,RURAL,CURVA,PLANA ,ASFALTADA,SI,PREVENTIVA (P),,NO,NO IDENTIFICA LA CAUSA,
A-2021-08-291,02/08/2021,06:00,CHOQUE,1,2,2,PIURA,SULLANA,SULLANA,RURAL,CARRETERA,NACIONAL,PE-1N,NO,-5.01321,-80.70007,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-08-36,02/08/2021,06:30,DESPISTE,1,0,1,CAJAMARCA,CUTERVO,CUTERVO,RURAL,CARRETERA,SIN CLASIFICAR,SIN CLASIFICAR,NO,-6.32453046,-78.78396314,DESPEJADO,RURAL,CURVA,INCLINADA,AFIRMADO,,,,,NO IDENTIFICA LA CAUSA,
A-2021-08-54,02/08/2021,10:30,DESPISTE,1,3,1,HUANCAVELICA,HUANCAVELICA,CONAYCA,RURAL,CARRETERA,NACIONAL,PE-26,NO,-12.51295,-75.06172,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,,,SI,NO IDENTIFICA LA CAUSA,
A-2021-08-199,02/08/2021,12:30,DESPISTE,1,0,1,PUNO,AZANGARO,AZANGARO,RURAL,CARRETERA,SIN CLASIFICAR,SIN CLASIFICAR,NO,-14.922155,-70.165595,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,TROCHA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-08-220,02/08/2021,19:00,DESPISTE,1,0,2,LIMA,LIMA,SAN BARTOLO,URBANA,CARRETERA,NACIONAL,PE-1S,NO,-12.38429587608215,-76.77102851603604,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-08-292,02/08/2021,19:20,CHOQUE,2,0,1,PIURA,PAITA,LA HUACA,RURAL,CARRETERA,DEPARTAMENTAL,PI-102,NO,-4.9167,-80.95936,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-08-13,02/08/2021,21:20,CHOQUE,2,2,2,PIURA,SECHURA,BELLAVISTA DE LA UNION,RURAL,CARRETERA,VECINAL,PI-1045,NO,-5.430341667,-80.74022166666667,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,REGULADORA (R),PREVENTIVA (P),NO,NO IDENTIFICA LA CAUSA,
A-2022-08-127,02/08/2022,01:00,ATROPELLO FUGA,2,0,0,PUNO,SAN ROMAN,CABANA,RURAL,CARRETERA,NACIONAL,PE-34A,NO,-15.562104,-70.24031,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA
A-2022-08-171,02/08/2022,03:45,DESPISTE,1,0,,PIURA,PIURA,VEINTISEIS DE OCTUBRE,URBANA,CARRETERA,NACIONAL,PE-1N,NO,-5.178632,-80.666543,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,,
A-2022-08-1,02/08/2022,06:35,CHOQUE,1,0,2,CALLAO,CALLAO,CALLAO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.049842714505223,-77.11416269059485,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,PREVENTIVA (P),,SI,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR)
A-2022-08-18,02/08/2022,07:15,CHOQUE,1,1,2,LA LIBERTAD,TRUJILLO,LAREDO,URBANA,CARRETERA,NACIONAL,PE-10A,NO,-8.112546,-78.999485,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-08-244,02/08/2022,23:00,VOLCADURA,1,0,1,PIURA,SULLANA,SULLANA,RURAL,CARRETERA,VECINAL,PI-579,NO,-4.791,-80.556,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-08-129,02/08/2023,09:30,CHOQUE FUGA,1,0,,JUNIN,YAULI,MOROCOCHA,RURAL,CARRETERA,NACIONAL,PE-22,NO,-11.5969736,-76.1842489,SOLEADO,RURAL,CURVA,PLANA ,ASFALTADA,SI,PREVENTIVA (P),,SI,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2023-08-1,02/08/2023,15:00,DESPISTE,1,0,,AREQUIPA,AREQUIPA,SOCABAYA,URBANA,CALLE,URBANO,NO CORRESPONDE,NO,-16.455866,-71.514163,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,CASCAJO/RIPIO,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-08-121,02/08/2023,18:20,CHOQUE,1,2,,UCAYALI,CORONEL PORTILLO,CALLERIA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-8.390918,-74.550855,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,NO,,,SI,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2023-08-146,02/08/2023,23:30,CHOQUE,2,3,2,ICA,NASCA,VISTA ALEGRE,RURAL,CARRETERA,NACIONAL,PE-30A,NO,-14.860932,-74.751047,DESPEJADO,RURAL,CURVA,INCLINADA,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL
A-2021-09-15,02/09/2021,00:00,CHOQUE CON OBJETO FIJO,1,0,1,CAJAMARCA,CUTERVO,CUTERVO,URBANA,CARRETERA,NACIONAL,PE-3N,NO,-6.39384815,-78.82548222,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,AFIRMADO,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
